Model extraction time(ms): 3333 Population time(ms): 0 Consistency check time(ms): 885 Base Reason computation time(ms): 1775 Core Reason computation time(ms): 663 Refinement time(ms): 571 Backtrack time(ms) (#Backtracks): 696 (6032) #Computed reasons (base/core): 0/54 #Computed reduced reasons (base/core): 0/32 #Checks: 74330
Model extraction time(ms): 6280 Population time(ms): 0 Consistency check time(ms): 776 Base Reason computation time(ms): 1766 Core Reason computation time(ms): 794 Refinement time(ms): 513 Backtrack time(ms) (#Backtracks): 1227 (7529) #Computed reasons (base/core): 0/26 #Computed reduced reasons (base/core): 0/19 #Checks: 85527
Model extraction time(ms): 31698 Population time(ms): 0 Consistency check time(ms): 957 Base Reason computation time(ms): 1246 Core Reason computation time(ms): 651 Refinement time(ms): 472 Backtrack time(ms) (#Backtracks): 4502 (7569) #Computed reasons (base/core): 0/52 #Computed reduced reasons (base/core): 0/39 #Checks: 76875
Model extraction time(ms): 15979 Population time(ms): 0 Consistency check time(ms): 950 Base Reason computation time(ms): 1281 Core Reason computation time(ms): 499 Refinement time(ms): 516 Backtrack time(ms) (#Backtracks): 2663 (8415) #Computed reasons (base/core): 0/34 #Computed reduced reasons (base/core): 0/27 #Checks: 87850
Model extraction time(ms): 4309 Population time(ms): 0 Consistency check time(ms): 817 Base Reason computation time(ms): 1424 Core Reason computation time(ms): 529 Refinement time(ms): 462 Backtrack time(ms) (#Backtracks): 777 (7275) #Computed reasons (base/core): 0/43 #Computed reduced reasons (base/core): 0/25 #Checks: 77734
Model extraction time(ms): 237 Population time(ms): 0 Consistency check time(ms): 118 Base Reason computation time(ms): 442 Core Reason computation time(ms): 206 Refinement time(ms): 35 Backtrack time(ms) (#Backtracks): 46 (220) #Computed reasons (base/core): 0/2 #Computed reduced reasons (base/core): 0/1 #Checks: 14210
Model extraction time(ms): 822 Population time(ms): 0 Consistency check time(ms): 47 Base Reason computation time(ms): 19 Core Reason computation time(ms): 12 Refinement time(ms): 20 Backtrack time(ms) (#Backtracks): 109 (284) #Computed reasons (base/core): 0/1 #Computed reduced reasons (base/core): 0/1 #Checks: 10483
Model extraction time(ms): 881 Population time(ms): 0 Consistency check time(ms): 145 Base Reason computation time(ms): 175 Core Reason computation time(ms): 52 Refinement time(ms): 47 Backtrack time(ms) (#Backtracks): 148 (496) #Computed reasons (base/core): 0/7 #Computed reduced reasons (base/core): 0/1 #Checks: 15843
Model extraction time(ms): 17171 Population time(ms): 0 Consistency check time(ms): 2170 Base Reason computation time(ms): 3260 Core Reason computation time(ms): 1173 Refinement time(ms): 1473 Backtrack time(ms) (#Backtracks): 2959 (21683) #Computed reasons (base/core): 0/59 #Computed reduced reasons (base/core): 0/41 #Checks: 163049
Model extraction time(ms): 26488 Population time(ms): 0 Consistency check time(ms): 2408 Base Reason computation time(ms): 3855 Core Reason computation time(ms): 1640 Refinement time(ms): 1781 Backtrack time(ms) (#Backtracks): 4814 (22935) #Computed reasons (base/core): 0/42 #Computed reduced reasons (base/core): 0/36 #Checks: 203067
Model extraction time(ms): 136757 Population time(ms): 0 Consistency check time(ms): 2253 Base Reason computation time(ms): 1301 Core Reason computation time(ms): 670 Refinement time(ms): 1142 Backtrack time(ms) (#Backtracks): 19529 (19812) #Computed reasons (base/core): 0/34 #Computed reduced reasons (base/core): 0/29 #Checks: 127058
